,نام مشتری,خوشه,گرید مشتری
0,20598174,0,d
1,21602822,2,c
2,21604522,1,a
3,21604722,3,b
4,21604822,0,d
5,21605122,1,a
6,21605322,0,d
7,21987722,2,c
8,21988222,3,b
9,21989122,1,a
10,21993022,3,b
11,21997822,1,a
12,22002922,3,b
13,22006422,2,c
14,22008922,3,b
15,22009322,2,c
16,22010022,0,d
17,22012822,0,d
18,22024222,0,d
19,22027922,3,b
20,22037622,3,b
21,22048622,3,b
22,22049622,2,c
23,22050022,3,b
24,22055522,3,b
25,22063522,2,c
26,22064022,3,b
27,22064322,3,b
28,22065022,0,d
29,22065122,3,b
30,22065522,3,b
31,22066122,2,c
32,22067322,0,d
33,22067922,3,b
34,22068222,0,d
35,22069822,0,d
36,22073422,0,d
37,22073822,1,a
38,22074722,2,c
39,22075022,2,c
40,22075722,2,c
41,22076522,3,b
42,22079422,1,a
43,22079822,3,b
44,22081922,3,b
45,22084022,0,d
46,22087122,0,d
47,22087522,0,d
48,22104022,0,d
49,22106822,3,b
50,22107322,2,c
51,22107922,1,a
52,22108622,2,c
53,22108822,2,c
54,22128122,1,a
55,22128322,1,a
56,22129822,1,a
57,22129922,1,a
58,22130022,1,a
59,22130122,1,a
60,22130622,1,a
61,22130722,3,b
62,22132622,3,b
63,22132722,3,b
64,22132822,3,b
65,22132922,0,d
66,22133022,2,c
67,22133122,0,d
68,22133222,3,b
69,22133322,3,b
70,22136422,1,a
71,22137622,0,d
72,22138222,2,c
73,22138522,3,b
74,22139722,1,a
75,22139822,1,a
76,22139922,1,a
77,22140622,1,a
78,22140722,1,a
79,22140822,1,a
80,22140922,1,a
81,22141022,1,a
82,22141122,1,a
83,22141222,1,a
84,22141322,1,a
85,22141422,1,a
86,22142022,1,a
87,22142422,1,a
88,22142822,1,a
89,22142922,1,a
90,22143422,3,b
91,22143822,1,a
92,22144322,2,c
93,22144722,0,d
94,22144822,1,a
95,22145022,0,d
96,22147322,1,a
97,22147622,3,b
98,22148222,1,a
99,22148422,1,a
100,22199422,1,a
101,22199522,1,a
102,22199822,1,a
103,22199922,1,a
104,22200122,1,a
105,22201122,3,b
106,22202522,1,a
107,22340822,0,d
108,22357422,1,a
109,22393422,1,a
110,23446922,1,a
111,23458522,2,c
112,23460322,2,c
113,23475622,3,b
114,23475922,1,a
115,23478922,0,d
116,23484222,0,d
117,23495422,1,a
118,23500622,2,c
119,23527222,0,d
120,23531622,1,a
121,23531722,1,a
122,23534922,2,c
123,23542522,1,a
124,23546722,1,a
125,23563422,2,c
126,23563722,0,d
127,23565222,1,a
128,23577622,1,a
129,23577822,2,c
130,23578122,1,a
131,23578322,1,a
132,23578822,1,a
133,23581122,1,a
134,24581622,1,a
135,24582622,1,a
136,24582722,3,b
137,24582922,1,a
138,24584322,2,c
139,24590922,1,a
140,24627922,1,a
141,24633522,2,c
142,24639722,1,a
143,24640522,1,a
144,24659522,2,c
145,24659722,1,a
146,24668722,0,d
