,نام مشتری,خوشه,گرید مشتری
0,20598174,2,c
1,21602822,1,a
2,21604522,3,b
3,21604722,0,d
4,21604822,2,c
5,21605122,3,b
6,21605322,2,c
7,21987722,1,a
8,21988222,0,d
9,21989122,3,b
10,21993022,0,d
11,21997822,3,b
12,22002922,0,d
13,22006422,1,a
14,22008922,0,d
15,22009322,1,a
16,22010022,2,c
17,22012822,2,c
18,22024222,2,c
19,22027922,0,d
20,22037622,0,d
21,22048622,0,d
22,22049622,1,a
23,22050022,0,d
24,22055522,0,d
25,22063522,1,a
26,22064022,0,d
27,22064322,0,d
28,22065022,2,c
29,22065122,0,d
30,22065522,0,d
31,22066122,1,a
32,22067322,2,c
33,22067922,0,d
34,22068222,2,c
35,22069822,2,c
36,22073422,2,c
37,22073822,3,b
38,22074722,1,a
39,22075022,1,a
40,22075722,1,a
41,22076522,0,d
42,22079422,3,b
43,22079822,0,d
44,22081922,0,d
45,22084022,2,c
46,22087122,2,c
47,22087522,2,c
48,22104022,2,c
49,22106822,0,d
50,22107322,1,a
51,22107922,3,b
52,22108622,1,a
53,22108822,1,a
54,22128122,3,b
55,22128322,3,b
56,22129822,3,b
57,22129922,3,b
58,22130022,3,b
59,22130122,3,b
60,22130622,3,b
61,22130722,0,d
62,22132622,0,d
63,22132722,0,d
64,22132822,0,d
65,22132922,2,c
66,22133022,1,a
67,22133122,2,c
68,22133222,0,d
69,22133322,0,d
70,22136422,3,b
71,22137622,2,c
72,22138222,1,a
73,22138522,0,d
74,22139722,3,b
75,22139822,3,b
76,22139922,3,b
77,22140622,3,b
78,22140722,3,b
79,22140822,3,b
80,22140922,3,b
81,22141022,3,b
82,22141122,3,b
83,22141222,3,b
84,22141322,3,b
85,22141422,3,b
86,22142022,3,b
87,22142422,3,b
88,22142822,3,b
89,22142922,3,b
90,22143422,0,d
91,22143822,3,b
92,22144322,1,a
93,22144722,2,c
94,22144822,3,b
95,22145022,2,c
96,22147322,3,b
97,22147622,0,d
98,22148222,3,b
99,22148422,3,b
100,22199422,3,b
101,22199522,3,b
102,22199822,3,b
103,22199922,3,b
104,22200122,3,b
105,22201122,0,d
106,22202522,3,b
107,22340822,2,c
108,22357422,3,b
109,22393422,3,b
110,23446922,3,b
111,23458522,1,a
112,23460322,1,a
