,date,value,flag,MA5,MA20
0,4/1/2018,35883335,past,,
1,4/2/2018,47006000,past,,
2,4/3/2018,722195023,past,,
3,4/4/2018,291941828,past,,
4,4/5/2018,789510106,past,377307258.4,
5,4/6/2018,66394000,past,383409391.4,
6,4/7/2018,768789527,past,527766096.8,
7,4/8/2018,576064149,past,498539922,
8,4/9/2018,605078953,past,561167347,
9,4/10/2018,362660000,past,475797325.8,
10,4/11/2018,531314374,past,568781400.6,
11,4/12/2018,771055019,past,569234499,
12,4/14/2018,646132902,past,583248249.6,
13,4/15/2018,701660805,past,602564620,
14,4/16/2018,517583203,past,633549260.6,
15,4/17/2018,510352183,past,629356822.4,
16,4/18/2018,588496340,past,592845086.6,
17,4/19/2018,665363318,past,596691169.8,
18,4/20/2018,63971000,past,469153208.8,
19,4/21/2018,615254737,past,488687515.6,493835340.1
20,4/22/2018,628649850,past,512347049,523473665.9
21,4/23/2018,631031909,past,520854162.8,552674961.3
22,4/24/2018,645690972,past,516919693.6,548849758.8
23,4/25/2018,751206159,past,654366725.4,571812975.3
24,4/26/2018,915844308,past,714484639.6,578129685.4
25,4/27/2018,47925000,past,598339669.6,577206235.4
26,4/28/2018,641073556,past,600347999,570820436.9
27,4/29/2018,967817817,past,664773368,590408120.3
28,4/30/2018,895118747,past,693555885.6,604910110
29,5/1/2018,584370262,past,627261076.4,615995623.1
30,5/2/2018,731243266,past,763924729.6,625992067.7
31,5/3/2018,611783102,past,758066638.8,618028471.8
32,5/5/2018,613062648,past,687115605,616374959.1
33,5/6/2018,847097198,past,677511295.2,623646778.8
34,5/7/2018,724708429,past,705578928.6,634003040.1
35,5/8/2018,912053681,past,741741011.6,654088115
36,5/9/2018,712744807,past,761933352.6,660300538.3
37,5/10/2018,804022618,past,800125346.6,667233503.3
38,5/12/2018,592831818,past,749272270.6,693676544.2
39,5/13/2018,728043163,past,749939217.4,699315965.5
40,5/14/2018,581088727,past,683746226.6,696937909.4
41,5/15/2018,482822654,past,637761796,689527446.6
42,5/16/2018,941812750,past,665319822.4,704333535.5
43,5/17/2018,388809692,past,624515397.2,686213712.2
44,5/18/2018,2930000,past,479492764.6,640567996.8
45,5/19/2018,528238499,past,468922719,664583671.7
46,5/20/2018,412743638,past,454906915.8,653167175.8
47,5/21/2018,433236098,past,353191585.4,626438089.9
48,5/22/2018,296047996,past,334639246.2,596484552.3
49,5/23/2018,399661513,past,413985548.8,587249114.9
50,5/24/2018,446679472,past,397673743.4,573020925.2
51,5/25/2018,7415500,past,316608115.8,542802545.1
52,5/26/2018,390296185,past,308020133.2,531664221.9
53,5/27/2018,505700666,past,349950667.2,514594395.3
54,5/28/2018,397047373,past,349427839.2,498211342.5
55,5/29/2018,409709568,past,342033858.4,473094136.9
56,5/30/2018,620055565,past,464561871.4,468459674.8
57,5/31/2018,642675221,past,515037678.6,460392304.9
58,6/2/2018,664977471,past,546893039.6,463999587.6
59,6/3/2018,761581860,past,619799937,465676522.4
60,6/4/2018,557666252,past,649391273.8,464505398.7
61,6/5/2018,608937700,past,647167700.8,470811151
62,6/6/2018,1960000,past,519024656.6,423818513.5
63,6/7/2018,242884028,past,434605968,416522230.3
64,6/8/2018,91303000,past,300550196,420940880.3
65,6/9/2018,642751917,past,317567329,426666551.2
66,6/10/2018,621633645,past,320106518,437111051.5
67,6/11/2018,689975733,past,457709664.6,449948033.3
68,6/12/2018,643872807,past,537907420.4,467339273.8
69,6/13/2018,730709862,past,665788792.8,483891691.3
70,6/14/2018,751125277,past,687463464.8,499113981.5
71,6/16/2018,413401122,past,645816960.2,519413262.6
72,6/17/2018,783929877,past,664607789,539094947.2
73,6/18/2018,957554187,past,727344065,561687623.3
74,6/19/2018,632050252,past,707612143,573437767.2
75,6/20/2018,1163413715,past,790069830.6,611122974.6
76,6/21/2018,848844194,past,877158445,622562406
77,6/22/2018,2100000,past,720792469.6,590533645
78,6/23/2018,773870028,past,684055637.8,595978272.8
79,6/24/2018,743260658,past,706297719,595062212.7
80,6/25/2018,777229614,past,629060898.8,606040380.8
81,6/26/2018,809057926,past,621103645.2,616046392.1
82,6/27/2018,1067723774,past,834228400,669334580.8
83,6/28/2018,1112644078,past,901983210,712822583.3
84,6/29/2018,198417500,past,793014578.4,718178308.3
85,6/30/2018,583271806,past,754223016.8,715204302.8
86,7/1/2018,746324338,past,741676299.2,721438837.4
87,7/2/2018,671642332,past,662460010.8,720522167.4
88,7/3/2018,633266160,past,566584427.2,719991835
89,7/4/2018,1064521386,past,739805204.4,736682411.2
90,7/5/2018,793959322,past,781942707.6,738824113.5
91,7/6/2018,132427000,past,659163240,724775407.4
92,7/7/2018,825282695,past,689891312.6,726843048.3
93,7/8/2018,889941044,past,741226289.4,723462391.1
94,7/9/2018,710589665,past,670439945.2,727389361.8
95,7/10/2018,531167860,past,617881652.8,695777069
96,7/11/2018,805830301,past,752562313,693626374.4
97,7/12/2018,803727382,past,748251250.4,733707743.5
98,7/13/2018,110803000,past,592423641.6,700554392.1
99,7/14/2018,784831328,past,607271974.2,702632925.6
100,7/15/2018,1101097067,past,721257815.6,718826298.2
101,7/16/2018,722050717,past,704501898.8,714475937.8
102,7/17/2018,1008429748,past,745442372,711511236.5
103,7/18/2018,1007056122,past,924692996.4,706231838.7
104,7/19/2018,872490000,past,942224730.8,739935463.7
105,7/20/2018,194331000,past,760871517.4,720488423.4
106,7/21/2018,862823862,past,789026146.4,726313399.6
107,7/22/2018,1002891660,past,787918528.8,742875866
108,7/23/2018,979506133,past,782408531,760187864.6
109,7/24/2018,727901523,past,753490835.6,743356871.5
110,7/25/2018,974061067,past,909436849,752361958.7
111,7/26/2018,1319220400,past,1000716157,811701628.7
112,7/27/2018,850000,past,800307824.6,770479994
113,7/28/2018,951983596,past,794803317.2,773582121.6
114,7/29/2018,861132948,past,821449602.2,781109285.7
115,7/30/2018,841556599,past,794948708.6,796628722.7
116,7/31/2018,1148304396,past,760765507.8,813752427.4
117,8/1/2018,1212216119,past,1003038732,834176864.3
118,8/2/2018,989405789,past,1010523170,878107003.7
119,8/4/2018,1024999277,past,1043296436,890115401.2
120,8/5/2018,1201534451,past,1115292006,895137270.4
121,8/6/2018,1248291389,past,1135289405,921449304
