,date,value,flag,MA5,MA20
0,2018-04-01,35883335.0,past,,
1,2018-04-02,47006000.0,past,,
2,2018-04-03,722195023.0,past,,
3,2018-04-04,291941828.0,past,,
4,2018-04-05,789510106.0,past,377307258.4,
5,2018-04-06,66394000.0,past,383409391.4,
6,2018-04-07,768789527.0,past,527766096.8,
7,2018-04-08,576064149.0,past,498539922.0,
8,2018-04-09,605078953.0,past,561167347.0,
9,2018-04-10,362660000.0,past,475797325.8,
10,2018-04-11,531314374.0,past,568781400.6,
11,2018-04-12,771055019.0,past,569234499.0,
12,2018-04-14,646132902.0,past,583248249.6,
13,2018-04-15,701660805.0,past,602564620.0,
14,2018-04-16,517583203.0,past,633549260.6,
15,2018-04-17,510352183.0,past,629356822.4,
16,2018-04-18,588496340.0,past,592845086.6,
17,2018-04-19,665363318.0,past,596691169.8,
18,2018-04-20,63971000.0,past,469153208.8,
19,2018-04-21,615254737.0,past,488687515.6,493835340.1
20,2018-04-22,628649850.0,past,512347049.0,523473665.85
21,2018-04-23,631031909.0,past,520854162.8,552674961.3
22,2018-04-24,645690972.0,past,516919693.6,548849758.75
23,2018-04-25,751206159.0,past,654366725.4,571812975.3
24,2018-04-26,915844308.0,past,714484639.6,578129685.4
25,2018-04-27,47925000.0,past,598339669.6,577206235.4
26,2018-04-28,641073556.0,past,600347999.0,570820436.85
27,2018-04-29,967817817.0,past,664773368.0,590408120.25
28,2018-04-30,895118747.0,past,693555885.6,604910109.95
29,2018-05-01,584370262.0,past,627261076.4,615995623.05
30,2018-05-02,731243266.0,past,763924729.6,625992067.65
31,2018-05-03,611783102.0,past,758066638.8,618028471.8
32,2018-05-05,613062648.0,past,687115605.0,616374959.1
33,2018-05-06,847097198.0,past,677511295.2,623646778.75
34,2018-05-07,724708429.0,past,705578928.6,634003040.05
35,2018-05-08,912053681.0,past,741741011.6,654088114.95
36,2018-05-09,712744807.0,past,761933352.6,660300538.3
37,2018-05-10,804022618.0,past,800125346.6,667233503.3
38,2018-05-12,592831818.0,past,749272270.6,693676544.2
39,2018-05-13,728043163.0,past,749939217.4,699315965.5
40,2018-05-14,581088727.0,past,683746226.6,696937909.35
41,2018-05-15,482822654.0,past,637761796.0,689527446.6
42,2018-05-16,941812750.0,past,665319822.4,704333535.5
43,2018-05-17,388809692.0,past,624515397.2,686213712.15
44,2018-05-18,2930000.0,past,479492764.6,640567996.75
45,2018-05-19,528238499.0,past,468922719.0,664583671.7
46,2018-05-20,412743638.0,past,454906915.8,653167175.8
47,2018-05-21,433236098.0,past,353191585.4,626438089.85
48,2018-05-22,296047996.0,past,334639246.2,596484552.3
49,2018-05-23,399661513.0,past,413985548.8,587249114.85
50,2018-05-24,446679472.0,past,397673743.4,573020925.15
51,2018-05-25,7415500.0,past,316608115.8,542802545.05
52,2018-05-26,390296185.0,past,308020133.2,531664221.9
53,2018-05-27,505700666.0,past,349950667.2,514594395.3
54,2018-05-28,397047373.0,past,349427839.2,498211342.5
55,2018-05-29,409709568.0,past,342033858.4,473094136.85
56,2018-05-30,620055565.0,past,464561871.4,468459674.75
57,2018-05-31,642675221.0,past,515037678.6,460392304.9
58,2018-06-02,664977471.0,past,546893039.6,463999587.55
59,2018-06-03,761581860.0,past,619799937.0,465676522.4
60,2018-06-04,557666252.0,past,649391273.8,464505398.65
61,2018-06-05,608937700.0,past,647167700.8,470811150.95
62,2018-06-06,1960000.0,past,519024656.6,423818513.45
63,2018-06-07,242884028.0,past,434605968.0,416522230.25
64,2018-06-08,91303000.0,past,300550196.0,420940880.25
65,2018-06-09,642751917.0,past,317567329.0,426666551.15
66,2018-06-10,621633645.0,past,320106518.0,437111051.5
67,2018-06-11,689975733.0,past,457709664.6,449948033.25
68,2018-06-12,643872807.0,past,537907420.4,467339273.8
69,2018-06-13,730709862.0,past,665788792.8,483891691.25
70,2018-06-14,751125277.0,past,687463464.8,499113981.5
71,2018-06-16,413401122.0,past,645816960.2,519413262.6
72,2018-06-17,783929877.0,past,664607789.0,539094947.2
73,2018-06-18,957554187.0,past,727344065.0,561687623.25
74,2018-06-19,632050252.0,past,707612143.0,573437767.2
75,2018-06-20,1163413715.0,past,790069830.6,611122974.55
76,2018-06-21,848844194.0,past,877158445.0,622562406.0
77,2018-06-22,2100000.0,past,720792469.6,590533644.95
78,2018-06-23,773870028.0,past,684055637.8,595978272.8
79,2018-06-24,743260658.0,past,706297719.0,595062212.7
80,2018-06-25,777229614.0,past,629060898.8,606040380.8
81,2018-06-26,809057926.0,past,621103645.2,616046392.1
82,2018-06-27,1067723774.0,past,834228400.0,669334580.8
83,2018-06-28,1112644078.0,past,901983210.0,712822583.3
84,2018-06-29,198417500.0,past,793014578.4,718178308.3
85,2018-06-30,583271806.0,past,754223016.8,715204302.75
86,2018-07-01,746324338.0,past,741676299.2,721438837.4
87,2018-07-02,671642332.0,past,662460010.8,720522167.35
88,2018-07-03,633266160.0,past,566584427.2,719991835.0
89,2018-07-04,1064521386.0,past,739805204.4,736682411.2
90,2018-07-05,793959322.0,past,781942707.6,738824113.45
91,2018-07-06,132427000.0,past,659163240.0,724775407.35
92,2018-07-07,825282695.0,past,689891312.6,726843048.25
93,2018-07-08,889941044.0,past,741226289.4,723462391.1
94,2018-07-09,710589665.0,past,670439945.2,727389361.75
95,2018-07-10,531167860.0,past,617881652.8,695777069.0
96,2018-07-11,805830301.0,past,752562313.0,693626374.35
97,2018-07-12,803727382.0,past,748251250.4,733707743.45
98,2018-07-13,110803000.0,past,592423641.6,700554392.05
99,2018-07-14,784831328.0,past,607271974.2,702632925.55
100,2018-07-15,1101097067.0,past,721257815.6,718826298.2
101,2018-07-16,722050717.0,past,704501898.8,714475937.75
102,2018-07-17,1008429748.0,past,745442372.0,711511236.45
103,2018-07-18,1007056122.0,past,924692996.4,706231838.65
104,2018-07-19,872490000.0,past,942224730.8,739935463.65
105,2018-07-20,194331000.0,past,760871517.4,720488423.35
106,2018-07-21,862823862.0,past,789026146.4,726313399.55
107,2018-07-22,1002891660.0,past,787918528.8,742875865.95
108,2018-07-23,979506133.0,past,782408531.0,760187864.6
109,2018-07-24,727901523.0,past,753490835.6,743356871.45
110,2018-07-25,974061067.0,past,909436849.0,752361958.7
111,2018-07-26,1319220400.0,past,1000716156.6,811701628.7
112,2018-07-27,850000.0,past,800307824.6,770479993.95
113,2018-07-28,951983596.0,past,794803317.2,773582121.55
114,2018-07-29,861132948.0,past,821449602.2,781109285.7
115,2018-07-30,841556599.0,past,794948708.6,796628722.65
116,2018-07-31,1148304396.0,past,760765507.8,813752427.4
117,2018-08-01,1212216119.0,past,1003038731.6,834176864.25
118,2018-08-02,989405789.0,past,1010523170.2,878107003.7
119,2018-08-04,1024999277.0,past,1043296436.0,890115401.15
120,2018-08-05,1201534451.0,past,1115292006.4,895137270.35
121,2018-08-06,1248291389.0,past,1135289405.0,921449303.95
122,2018-08-07,716760762.0,past,1036198333.6,906865854.65
123,2018-08-08,1043565615.0,past,1047030298.8,908691329.3
124,2018-08-09,1014074767.0,past,1044845396.8,915770567.65
125,2018-08-10,75573000.0,past,819653106.6,909832667.65
126,2018-08-11,937720951.0,past,757539019.0,913577522.1
127,2018-08-12,1058754250.0,past,825937716.6,916370651.6
128,2018-08-13,1131017182.0,past,843428030.0,923946204.05
129,2018-08-14,916714949.0,past,823956066.4,933386875.35
130,2018-08-15,1134066778.0,past,1035654822.0,941387160.9
131,2018-08-16,1196923650.0,past,1087495361.8,935272323.4
132,2018-08-18,1148539934.0,past,1105452498.6,992656820.1
133,2018-08-19,1169638428.0,past,1113176747.8,1003539561.7
134,2018-08-20,1319931454.0,past,1193820048.8,1026479487.0
135,2018-08-21,952286078.0,past,1157463908.8,1032015960.95
136,2018-08-22,1124092345.0,past,1142897647.8,1030805358.4
137,2018-08-23,1084651945.0,past,1130120050.0,1024427149.7
138,2018-08-25,1524763712.0,past,1201145106.8,1051195045.85
139,2018-08-26,1442435889.0,past,1225645993.8,1072066876.45
140,2018-08-27,1438863140.0,past,1322961406.2,1083933310.9
141,2018-08-28,1308324923.0,past,1359807921.8,1086934987.6
142,2018-08-29,1877156866.0,past,1518308906.0,1144954792.8
143,2018-08-30,1457908895.0,past,1504937942.6,1165671956.8
144,2018-08-31,146550000.0,past,1245760764.8,1122295718.45
145,2018-09-01,1738395992.0,past,1305667335.2,1205436868.05
146,2018-09-02,1424158632.0,past,1328834077.0,1229758752.1
147,2018-09-03,1344742640.0,past,1222351231.8,1244058171.6
148,2018-09-04,1908236778.0,past,1312416808.4,1282919151.4
